Songs,Sugar Babe,1975,https://www.discogs.com/master/398344,Funk / Soul|Pop|Rock,AOR|City Pop|Folk Rock|Pop Rock|Soft Rock|Soul
Lagoon,Shigeru Suzuki,1976,https://www.discogs.com/master/915889,Funk / Soul|Jazz|Latin,City Pop|Funk|Jazz-Funk|Samba
Sunshower,Taeko Ohnuki,1977,https://www.discogs.com/master/742672,Funk / Soul|Jazz|Pop,City Pop|Funk|Jazz-Funk|Soul
Pacific,"Haruomi Hosono, Shigeru Suzuki, Tatsuro Yamashita",1978,https://www.discogs.com/master/408982,Electronic|Jazz,Easy Listening|Electro|Fusion|Jazz-Funk|Synth-pop
Thousand Knives Of,Ryuichi Sakamoto,1978,https://www.discogs.com/master/47218,Classical|Electronic,Abstract|Experimental|Modern Classical|Synth-pop
Late Late Summer,Bread & Butter,1979,https://www.discogs.com/master/874928,Funk / Soul|Rock,City Pop|Funk|Soft Rock
Papa Hemingway,Kazuhiko Kato,1979,https://www.discogs.com/master/448486,Electronic|Pop|Rock,City Pop|Pop Rock|Synth-pop|Vocal
Monochrome,Minako Yoshida,1980,https://www.discogs.com/master/675183,Funk / Soul|Pop,City Pop|Disco|Funk|Soul
Pocket Park,Miki Matsubara,1980,https://www.discogs.com/master/949357,Funk / Soul|Pop,City Pop|Disco
Tasogare = たそがれ,Mai Yamane,1980,https://www.discogs.com/master/1197334,Funk / Soul|Jazz|Pop|Rock,City Pop|Jazz-Funk
A Long Vacation,Eiichi Ohtaki,1981,https://www.discogs.com/master/440808,Pop|Rock,City Pop|Pop Rock|Rock & Roll
Colored Music,Colored Music,1981,https://www.discogs.com/master/812562,Electronic,Experimental|New Wave
First Light,Makoto Matsushita,1981,https://www.discogs.com/master/593192,Electronic|Funk / Soul|Jazz|Pop|Rock,AOR|City Pop|Funk|Jazz-Rock|Pop Rock|Prog Rock
Mkwaju,Mkwaju Ensemble,1981,https://www.discogs.com/master/521767,Electronic|Jazz|Latin,Afrobeat|Avant-garde Jazz|Experimental|Jazz-Funk
さてこそ,Chakra,1981,https://www.discogs.com/master/531046,"Electronic|Folk, World, & Country|Pop|Rock",Avantgarde|New Wave|Synth-pop
Awakening,"Hiroshi Sato, Wendy Matthews",1982,https://www.discogs.com/master/793346,Electronic|Funk / Soul|Pop,City Pop|Disco|Funk|Soul|Synth-pop
For You,Tatsuro Yamashita,1982,https://www.discogs.com/master/351396,Funk / Soul|Jazz|Rock,Ballad|City Pop|Cool Jazz|Funk|Soft Rock|Soul
Love Trip,Takako Mamiya,1982,https://www.discogs.com/master/774556,Funk / Soul|Jazz|Pop,City Pop|Funk|Jazz-Funk|Soul
Mint Jams,Casiopea,1982,https://www.discogs.com/master/287930,Jazz,Fusion
Philharmony,Haruomi Hosono,1982,https://www.discogs.com/master/135216,Electronic,Experimental|Synth-pop
The September Wind = 九月の風 ~通り過ぎた夏~,"Naoya Matsuoka, Wesing, Naoya Matsuoka, Wesing",1982,https://www.discogs.com/master/1110154,Jazz,Contemporary Jazz|Latin Jazz
"What, Me Worry? ボク、大丈夫!!","Yukihiro Takahashi, Yukihiro Takahashi",1982,https://www.discogs.com/master/121629,Electronic,Synth-pop
イマジネーション通信 = Imagination Exchange,Masumi Hara,1982,https://www.discogs.com/master/534752,Electronic|Pop|Rock,Avantgarde|Dub|Electro|New Wave
不思議・少女,Chiemi Manabe,1982,https://www.discogs.com/master/543107,Electronic,Synth-pop
改造への躍動,Guernica,1982,https://www.discogs.com/master/276352,Electronic,Experimental|Minimal|Synth-pop
