Policenauts,"Konami Kukeiha Club, Konami Kukeiha Club",1995,https://www.discogs.com/master/1426472,Electronic|Rock|Stage & Screen,Modern Classical|Soundtrack|Synth-pop|Video Game Music
悪魔城ドラキュラ X ～月下の夜想曲 (Original Game Soundtrack),Michiru Yamane,1997,https://www.discogs.com/master/210600,Electronic|Rock|Stage & Screen,Modern Classical|Soundtrack|Symphonic Rock|Video Game Music
Guilty Gear Original Sound Collection,"Daisuke Ishiwatari, Takahiro Uematsu, Hatsuaki Takami, Takuya Moritou",1998,https://www.discogs.com/release/18267286,Rock|Stage & Screen,Hard Rock|Heavy Metal|Power Metal|Progressive Metal|Soundtrack|Video Game Music
Chrono Trigger: Original Soundtrack,Yasunori Mitsuda,1999,https://www.discogs.com/master/512533,Electronic|Stage & Screen,Breakbeat|Chiptune|Downtempo|Modern Classical|Soundtrack|Video Game Music
バンジョーとカズーイの大冒険 オリジナルサウンドトラック,Rare,1999,https://www.discogs.com/master/513664,Electronic|Stage & Screen,Soundtrack|Video Game Music
Final Fantasy IX: Original Soundtrack,Nobuo Uematsu,2000,https://www.discogs.com/master/359830,Electronic|Stage & Screen,Ambient|Future Jazz|Soundtrack|Techno|Video Game Music
The Legend Of Zelda: Majora’s Mask (Original Soundtrack),Koji Kondo,2000,https://www.discogs.com/master/279006,Electronic|Stage & Screen,Modern Classical|Soundtrack|Video Game Music
Dark Cloud Original Soundtrack,Tomohito Nishiura,2001,https://www.discogs.com/master/1922451,Classical|Stage & Screen,Soundtrack|Video Game Music
Final Fantasy X Original Soundtrack,"Nobuo Uematsu, Masashi Hamauzu, Junya Nakano",2001,https://www.discogs.com/master/359834,Electronic|Stage & Screen,Ambient|Modern Classical|Score|Soundtrack|Video Game Music
Silent Hill 2 (Original Soundtracks),Akira Yamaoka,2001,https://www.discogs.com/master/126198,Electronic|Rock|Stage & Screen,Abstract|Alternative Rock|Ambient|Downtempo|Experimental|Soundtrack|Video Game Music
Jet Set Radio Future Original Soundtrack,Various,2002,https://www.discogs.com/master/818101,Electronic|Hip Hop|Pop|Rock|Stage & Screen,Alternative Rock|Breakbeat|Hip Hop|J-pop|J-Rock|Techno|Trip Hop|Turntablism|Video Game Music
.hack//Game Music Perfect Collection,Boohoowoo,2003,https://www.discogs.com/release/19885606,Stage & Screen,Video Game Music
Anubis Zone Of The Enders Original Soundtrack,Various,2003,https://www.discogs.com/master/633557,Electronic|Stage & Screen,Ambient|Drum n Bass|Modern Classical|Soundtrack|Video Game Music
Halo Original Soundtrack,Martin O'Donnell And Michael Salvatori,2003,https://www.discogs.com/master/514461,Electronic|Rock|Stage & Screen,Ambient|Modern Classical|Score|Soundtrack|Video Game Music
Silent Hill 3 (Original Soundtracks) = サイレントヒル3 オリジナル・サウンドトラック,Akira Yamaoka,2003,https://www.discogs.com/master/126200,Classical|Electronic|Non-Music|Rock|Stage & Screen,Abstract|Alternative Rock|Dark Ambient|Downtempo|Drone|Illbient|Industrial|Neo-Classical|Soundtrack|Spoken Word|Trip Hop|Video Game Music
Metal Gear Solid 3: Snake Eater (Original Soundtrack),Various,2004,https://www.discogs.com/master/7927,Electronic|Rock|Stage & Screen,Acoustic|Ambient|Breaks|Lounge|Modern Classical|Score|Video Game Music
塊魂サウンドトラック「塊フォルテッシモ魂」,Various,2004,https://www.discogs.com/master/1334200,Electronic|Funk / Soul|Jazz|Stage & Screen,Bossa Nova|Electro|Funk|Soundtrack|Video Game Music
Clannad Original Soundtrack,"Key, Eufonius, Lia",2005,https://www.discogs.com/release/7003919,Electronic|Pop|Stage & Screen,Ballad|Experimental|J-pop|Soundtrack
Devil May Cry 3 Original Soundtrack,"Tetsuya Shibata, Kento Hasegawa, Shootie HG, David Baker",2005,https://www.discogs.com/release/12161488,Electronic|Rock|Stage & Screen,Heavy Metal|Industrial|Techno|Video Game Music
Killer7 (Original Sound Track),Masafumi Takada,2005,https://www.discogs.com/master/1465224,Electronic|Jazz|Latin|Rock|Stage & Screen,Ambient|Chiptune|Downtempo|Latin Jazz|Soundtrack|Techno|Video Game Music
ワンダと巨像 大地の咆哮 (オリジナル サウンドトラック),Kow Otani,2005,https://www.discogs.com/master/521097,Classical|Electronic|Stage & Screen,Score|Soundtrack|Video Game Music
Hitman: Blood Money Original Soundtrack,Jesper Kyd,2006,https://www.discogs.com/master/1603775,Electronic|Stage & Screen,Ambient|Big Beat|Breaks|Modern Classical|Score|Soundtrack|Techno|Video Game Music
Persona3 Original Soundtrack,Shoji Meguro,2006,https://www.discogs.com/release/8606510,Electronic|Pop|Rock|Stage & Screen,J-pop|Pop Rock|Video Game Music|Vocal
The Elder Scrolls IV: Oblivion,Jeremy Soule,2006,https://www.discogs.com/master/602380,Electronic,Modern Classical|Soundtrack
Viewtiful Joe,Various,2006,https://www.discogs.com/release/8018776,Pop|Rock|Stage & Screen,J-pop|J-Rock|Soundtrack|Video Game Music
Megaman 9,Various Artists,2008,,Stage & Screen,
GRAN TURISMO 5 Original Game Soundtrack,"Masahiro Andoh, Gonno, Yuto Takei, Makoto",2010,https://www.discogs.com/release/13392029,Electronic|Funk / Soul|Jazz|Rock|Stage & Screen,Jazz-Funk|Lounge|New Age|Soundtrack|Video Game Music
Machinarium Soundtrack,Tomáš Dvořák,2010,https://www.discogs.com/master/234613,Electronic|Stage & Screen,Ambient|Experimental|Video Game Music
PPPPPP,SoulEye,2010,https://www.discogs.com/master/402963,Electronic,Chiptune|Parody
Tower Of Heaven,Flashygoodness,2010,https://www.discogs.com/release/3563922,Electronic,Chiptune|Soundtrack
Bastion: Original Soundtrack,Darren Korb,2011,https://www.discogs.com/master/371304,Electronic|Non-Music|Rock|Stage & Screen,Acoustic|Downtempo|Glitch|IDM|Industrial|Spoken Word|Video Game Music
Sword & Sworcery LP - The Ballad Of The Space Babies,Jim Guthrie,2011,https://www.discogs.com/master/424045,Electronic|Stage & Screen,Ambient|IDM|Video Game Music
The Music Of Diablo 1996 - 2011: Diablo 15 Year Anniversary,Matt Uelmen,2011,https://www.discogs.com/release/3243711,"Classical|Folk, World, & Country|Stage & Screen",Neo-Classical|Score|Soundtrack|Video Game Music
Journey,Austin Wintory,2012,https://www.discogs.com/master/865382,Classical|Stage & Screen,Score|Soundtrack|Video Game Music
Hotline Miami Soundtrack,Various,2013,https://www.discogs.com/master/865072,Electronic|Stage & Screen,Experimental|Hip Hop|New Beat|Soundtrack|Synthwave|Video Game Music
Shovel Knight Original Soundtrack,Jake Kaufman,2014,https://www.discogs.com/master/954895,Electronic|Stage & Screen,Chiptune|Soundtrack|Video Game Music
Transistor: Original Soundtrack,Darren Korb,2014,https://www.discogs.com/master/767956,Electronic|Rock|Stage & Screen,Downtempo|Glitch|IDM|Illbient|Lo-Fi|Shoegaze|Soundtrack|Video Game Music
The Old City - Leviathan (Official Soundtrack),Atrium Carceri,2015,https://www.discogs.com/master/804788,Electronic|Stage & Screen,Dark Ambient|Score|Soundtrack
"Hero Of Time (Music From ""The Legend Of Zelda: Ocarina Of Time"")",The Slovak National Symphony Orchestra,2017,https://www.discogs.com/master/1204510,Classical|Stage & Screen,Classical|Soundtrack|Video Game Music
NieR: Automata / NieR Gestalt & Replicant Original Soundtrack Vinyl Box Set,Various,2017,https://www.discogs.com/release/10994174,"Classical|Electronic|Folk, World, & Country|Stage & Screen",Ambient|Celtic|Downtempo|Experimental|Gagaku|Modern Classical|Neo-Classical|Score|Soundtrack|Theme|Video Game Music
Demon's Souls (Original Soundtrack),Shunsuke Kida,2020,https://www.discogs.com/master/1920960,Stage & Screen,Soundtrack|Video Game Music
